runtime_seconds,348.20346300001256
runtime_display,5 min 48.2 s

detuning_ghz,source_power_w,transport_feasible,handover_transfer_efficiency,science_total_temperature_rise_uK,final_retention_from_mot,science_peak_density_m3
650.0,0.8,True,0.94,0.7550404877613168,0.6798455999999999,2.7221830544516946e+18
675.0,0.8,True,0.924,-1.3061075398954642,0.699719328,3.10942047081577e+18
700.0,0.8,True,0.928,-1.1786001656001126,0.7199424,3.010389522070183e+18
725.0,0.8,True,0.934,-2.9798084041674784,0.691115168,3.200562933908053e+18
750.0,0.8,True,0.938,-2.9499143888121395,0.667503312,2.9415202197479823e+18
775.0,0.8,True,0.944,-3.86289169000748,0.6615552,3.025774224590914e+18
800.0,0.8,True,0.932,-3.826006080578221,0.656989168,2.866231235929921e+18
100.0,0.9,True,1.0,55.55781970537707,0.998,1.0377305670418946e+19
125.0,0.9,True,1.0,44.10332708986313,1.0,9.563462991182742e+18
150.0,0.9,True,1.0,37.97824584303733,0.996,8.461400888414155e+18
175.0,0.9,True,1.0,34.89727653709842,0.994,7.305089341650626e+18
200.0,0.9,True,1.0,31.77716848177129,0.99,6.529785184534297e+18
225.0,0.9,True,1.0,30.51128176426147,0.982032,5.658065492418266e+18
250.0,0.9,True,0.998,24.93159822152279,0.978103872,5.759931925098945e+18
275.0,0.9,True,1.0,23.559278975729043,0.9660639999999999,5.188198210482449e+18
300.0,0.9,True,0.994,19.89597662644089,0.95233152,5.142721887894026e+18
325.0,0.9,True,0.994,17.9669588434066,0.9326026079999999,4.831502609443375e+18
350.0,0.9,True,0.99,19.08290522125965,0.91952388,4.098531967802466e+18
375.0,0.9,True,0.99,15.102936035474208,0.9234284399999999,4.37831051221456e+18
400.0,0.9,True,0.986,16.482244752428258,0.885554208,3.612230863900056e+18
425.0,0.9,True,0.976,12.824984984296975,0.853508096,3.7401329371109253e+18
450.0,0.9,True,0.976,11.882419906272052,0.840172032,3.544694364754985e+18
475.0,0.9,True,0.984,10.417419709362687,0.8359355519999999,3.504141120436851e+18
500.0,0.9,True,0.978,9.225119610297643,0.826366968,3.419658083150476e+18
525.0,0.9,True,0.952,6.809267272918909,0.7964013119999999,3.5004286293672223e+18
550.0,0.9,True,0.964,6.818072259722797,0.763171808,3.139345633646746e+18
575.0,0.9,True,0.932,5.894457280668814,0.7368913920000001,3.0007542361694623e+18
600.0,0.9,True,0.948,4.170275460762703,0.7461707999999999,3.17362010163247e+18
625.0,0.9,True,0.956,3.6751131988198225,0.721011376,2.987221066850886e+18
650.0,0.9,True,0.95,3.2374394462251317,0.7133778,2.877122674328658e+18
675.0,0.9,True,0.948,2.6220772794723004,0.6981678720000001,2.780962380537994e+18
700.0,0.9,True,0.958,0.4815240890463386,0.687046944,3.019775194608129e+18
725.0,0.9,True,0.942,-1.1486837897782962,0.6874716,3.2590696481925376e+18
750.0,0.9,True,0.932,0.1696131488551842,0.65940864,2.694916560502555e+18
775.0,0.9,True,0.95,-1.5205633426728014,0.7016471999999999,3.124809102264648e+18
800.0,0.9,True,0.934,0.1713647711280899,0.7129222000000001,2.664691436688353e+18
100.0,1.0,True,1.0,62.33845693448737,1.0,1.0705460276193511e+19
125.0,1.0,True,1.0,52.69125474180616,1.0,9.275749798872824e+18
150.0,1.0,True,1.0,45.85414209096706,0.998,8.202999272724262e+18
175.0,1.0,True,0.998,39.75802825955589,0.996004,7.548632388324322e+18
200.0,1.0,True,0.998,33.11761250307213,0.992012,7.375075769297357e+18
225.0,1.0,True,1.0,28.527515481434655,0.996,7.137373158712519e+18
250.0,1.0,True,0.998,30.46949768306932,0.980036,5.677994456338141e+18
275.0,1.0,True,0.996,24.416307369197526,0.98406792,6.01145111701157e+18
300.0,1.0,True,0.998,21.993471145060923,0.960147856,5.623416123705363e+18
325.0,1.0,True,0.996,22.644517985894296,0.960211728,4.894436937288499e+18
350.0,1.0,True,0.998,20.48891491880179,0.954171832,4.723938055275789e+18
375.0,1.0,True,0.986,18.458057794560062,0.9290249759999999,4.4988455206271764e+18
400.0,1.0,True,0.996,14.993423813509182,0.9149176320000001,4.652873603954229e+18
425.0,1.0,True,0.992,14.495839750822455,0.9215402239999999,4.3902236767635543e+18
450.0,1.0,True,0.99,15.891167992890352,0.87734592,3.629637051146474e+18
475.0,1.0,True,0.982,13.510197092700906,0.856131168,3.63499165506304e+18
500.0,1.0,True,0.988,12.218307942020154,0.85379008,3.5750113918267325e+18
