runtime_seconds,419.3644915999612
runtime_display,6 min 59.4 s

detuning_ghz,source_power_w,transport_feasible,handover_transfer_efficiency,science_total_temperature_rise_uK,final_retention_from_mot,science_peak_density_m3
575.0,0.5,True,0.6,-6.704506275030056,0.43960319999999997,2.014802808575189e+18
600.0,0.5,True,0.612,-7.855373900499874,0.404130528,1.9983693781708808e+18
625.0,0.5,True,0.632,-8.900981811260191,0.421801856,2.2544272577628424e+18
650.0,0.5,True,0.604,-8.530163850093263,0.38762304,1.8667501755192143e+18
675.0,0.5,True,0.632,-9.705312162980128,0.41845478399999997,2.2482985641418127e+18
700.0,0.5,True,0.588,-10.704669918117057,0.38836223999999997,2.3118658093994435e+18
725.0,0.5,True,0.582,-8.637145459383353,0.37098309599999996,1.5562006420367324e+18
750.0,0.5,True,0.604,-10.899927640999806,0.38721715199999995,2.1622982811444462e+18
775.0,0.5,True,0.538,-10.557702380650113,0.339533952,1.714335068215938e+18
800.0,0.5,True,0.586,-12.29282741726222,0.36264492800000003,2.3765006439180416e+18
100.0,0.6000000000000001,True,0.976,66.3238329605689,0.8374079999999999,3.8813011202937953e+18
125.0,0.6000000000000001,True,0.94,50.22523295432157,0.79336,3.6018835403875855e+18
150.0,0.6000000000000001,True,0.914,37.49631463058267,0.782384,3.663562455990971e+18
175.0,0.6000000000000001,True,0.92,29.938432739032784,0.75504768,3.4813723282129034e+18
200.0,0.6000000000000001,True,0.908,29.420174988942158,0.739446144,2.8469798036287754e+18
225.0,0.6000000000000001,True,0.852,23.92068420065018,0.6761472,2.6153248124152366e+18
250.0,0.6000000000000001,True,0.862,17.694255793733006,0.666632872,2.780976053045201e+18
275.0,0.6000000000000001,True,0.802,14.059485916316746,0.6148581120000001,2.5996361665080796e+18
300.0,0.6000000000000001,True,0.806,12.430852566814849,0.611683072,2.4532994171825684e+18
325.0,0.6000000000000001,True,0.772,9.083749494814437,0.574188896,2.415108342673311e+18
350.0,0.6000000000000001,True,0.738,6.816659384365135,0.53000208,2.2624513302299008e+18
375.0,0.6000000000000001,True,0.712,6.200868488669016,0.524490528,2.0991607959032643e+18
400.0,0.6000000000000001,True,0.69,3.2172703350037786,0.4915422,2.149759416308106e+18
